mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
38.91794856389364,0.34917716318162667,2.270505348841349,0.032796417880650616,False,,sqrt,2,3,161,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 161}",0.9045352412488175,0.9043135052034059,0.9042395931882686,0.904362779880164,0.00012562626915784927,33
23.380171219507854,0.9453930910656789,0.8334774176279703,0.0033892286553271513,True,10,sqrt,2,2,161,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 161}",0.9073734626300851,0.9076543282876064,0.9074473746452223,0.9074917218543046,0.00011887356198571503,3
33.5302046140035,1.2860358842744726,2.503584543863932,0.050265695255327786,True,,sqrt,1,3,176,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 176}",0.9018744087038789,0.9018891911069064,0.9025839640491958,0.9021158546199937,0.0003310583615626054,47
19.793684720993042,0.8026984896671561,1.2642570336659749,0.06415406738735117,True,20,sqrt,2,4,108,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 108}",0.9067673841059603,0.9072404210028382,0.9066343424787133,0.906880715862504,0.00026008442172020406,17
37.4670561949412,1.0001539878580008,2.390695095062256,0.021715705904718476,False,,sqrt,1,3,143,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 143}",0.8981048959318827,0.8967892620624409,0.897912724692526,0.89760229422895,0.0005802289342105491,50
34.949071168899536,0.3068932855357729,1.9407283465067546,0.03651781565111252,False,20,sqrt,2,2,151,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 151}",0.9058952223273415,0.90567348628193,0.9057473982970672,0.9057720356354463,9.218447913645722e-05,21
18.552699486414593,0.7782672679282331,0.70257568359375,0.004347855182243519,True,10,sqrt,2,3,138,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 138}",0.9074325922421949,0.9075804162724692,0.90740302743614,0.9074720119836014,7.759783855656327e-05,4
37.52792080243429,0.9696164304112791,2.223952372868856,0.020027890336213505,False,20,sqrt,1,2,155,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 155}",0.9032196073793756,0.9028500473036897,0.9034117786187322,0.9031604777672658,0.00023310620018358828,45
33.77473187446594,0.5332490775384502,2.350362459818522,0.13013465415293723,True,20,sqrt,2,3,191,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 191}",0.9063978240302744,0.9072699858088931,0.9067082544938505,0.9067920214443393,0.000360951722087116,18
24.258415857950848,0.7970655422896994,1.368495225906372,0.07144221896775631,False,20,sqrt,2,2,100,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9057178334910123,0.9054665326395459,0.9059543519394513,0.9057129060233365,0.00019918187215593622,25
17.974213361740112,0.11039775007479484,0.6998374462127686,0.04378979527064244,True,10,log2,1,3,131,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 131}",0.9071517265846736,0.9078464995269631,0.90740302743614,0.9074670845159255,0.0002872337520062531,5
37.03013984362284,0.9128130235732954,2.159425973892212,0.05622934536189884,False,20,log2,1,4,155,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 155}",0.9045056764427626,0.904416982024598,0.9049491485335857,0.9046239356669821,0.00023279351566968978,32
35.511030197143555,0.49070075064035074,2.1756513118743896,0.17582894922751058,True,,sqrt,2,2,197,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 197}",0.905910004730369,0.9065752128666036,0.906589995269631,0.9063584042888678,0.0003171237959181573,19
29.751766443252563,1.2145338807650028,0.8904198805491129,0.021034528957830537,False,10,sqrt,1,2,172,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 172}",0.9073143330179754,0.9074769394512772,0.9073291154210028,0.9073734626300851,7.34176148383343e-05,9
24.592279354731243,0.8934737763696808,1.3521482944488525,0.023158681840575377,False,20,log2,2,2,102,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 102}",0.9056587038789026,0.9055995742667928,0.9058952223273415,0.9057178334910123,0.00012773456122689363,24
24.46236824989319,0.46647848344601645,1.435502529144287,0.007422899375867684,False,20,log2,1,3,166,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 166}",0.9041213339640491,0.9041065515610217,0.9036187322611163,0.9039488725953957,0.00023352246158688997,43
15.712664683659872,0.6330550086345965,1.2449055512746174,0.024060318410376414,True,20,log2,2,4,151,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 151}",0.9067378192999054,0.9075360690633869,0.9067821665089877,0.9070186849574267,0.0003662935103288646,14
